code,description,message,cause,troubleshooting,component,equipment
11000,알람 설명 1,알람 예시 1,알람 원인 1,알람 해제 방법 및 트러블 슈팅 1,보호 유리/프로세스 파이버,가압부
12000,알람 설명 2,알람 예시 2,알람 원인 2,알람 해제 방법 및 트러블 슈팅 2,보호 유리/프로세스 파이버,가압부
11002,알람 설명 3,알람 예시 3,알람 원인 3,알람 해제 방법 및 트러블 슈팅 3,보호 유리,가압부
11003,알람 설명 4,알람 예시 4,알람 원인 4,알람 해제 방법 및 트러블 슈팅 4,프레셔 피스,가압부
11004,알람 설명 5,알람 예시 5,알람 원인 5,알람 해제 방법 및 트러블 슈팅 5,프레셔 피스/샤프트/석션 파이프,가압부
11004,알람 설명 6,알람 예시 6,알람 원인 6,알람 해제 방법 및 트러블 슈팅 6,석션 호스/석션 모터,집진기
11005,알람 설명 7,알람 예시 7,알람 원인 7,알람 해제 방법 및 트러블 슈팅 7,에어 시스템,메인 장비/가압부
11006,알람 설명 8,알람 예시 8,알람 원인 8,알람 해제 방법 및 트러블 슈팅 8,에어 시스템,메인 장비/가압부
11007,알람 설명 9,알람 예시 9,알람 원인 9,알람 해제 방법 및 트러블 슈팅 9,프레셔 피스,가압부
11202,알람 설명 10,알람 예시 10,알람 원인 10,알람 해제 방법 및 트러블 슈팅 10,공업용수/냉각 호스,Customer/메인 장비
11204,알람 설명 11,알람 예시 11,알람 원인 11,알람 해제 방법 및 트러블 슈팅 11,레이저 모듈/MCU,메인 장비
11208,알람 설명 12,알람 예시 12,알람 원인 12,알람 해제 방법 및 트러블 슈팅 12,레이저 모듈,메인 장비
11209,알람 설명 13,알람 예시 13,알람 원인 13,알람 해제 방법 및 트러블 슈팅 13,설정 파라미터,냉각기
11212,알람 설명 14,알람 예시 14,알람 원인 14,알람 해제 방법 및 트러블 슈팅 14,레이저 모듈,메인 장비
11213,알람 설명 15,알람 예시 15,알람 원인 15,알람 해제 방법 및 트러블 슈팅 15,레이저 모듈,메인 장비
11214,알람 설명 16,알람 예시 16,알람 원인 16,알람 해제 방법 및 트러블 슈팅 16,캐비닛 습도/2X TEC,메인 장비
11216,알람 설명 17,알람 예시 17,알람 원인 17,알람 해제 방법 및 트러블 슈팅 17,이슬점 센서,메인 장비
11217,알람 설명 18,알람 예시 18,알람 원인 18,알람 해제 방법 및 트러블 슈팅 18,파워 서플라이,메인 장비
11306,알람 설명 19,알람 예시 19,알람 원인 19,알람 해제 방법 및 트러블 슈팅 19,물 탱크,냉각기
11314,알람 설명 20,알람 예시 20,알람 원인 20,알람 해제 방법 및 트러블 슈팅 20,냉매/공업용수/팽창 밸브,냉각기
11315,알람 설명 21,알람 예시 21,알람 원인 21,알람 해제 방법 및 트러블 슈팅 21,공업용수/냉각 호스,냉각기
12002,알람 설명 22,알람 예시 22,알람 원인 22,알람 해제 방법 및 트러블 슈팅 22,보호 유리,가압부
12003,알람 설명 23,알람 예시 23,알람 원인 23,알람 해제 방법 및 트러블 슈팅 23,프레셔 피스/냉각 호스/온도 센서,가압부
12004,알람 설명 24,알람 예시 24,알람 원인 24,알람 해제 방법 및 트러블 슈팅 24,프레셔 피스/샤프트/석션 파이프/석션 호스,가압부
12004,알람 설명 25,알람 예시 25,알람 원인 25,알람 해제 방법 및 트러블 슈팅 25,석션 호스/석션 모터,집진기
12008,알람 설명 26,알람 예시 26,알람 원인 26,알람 해제 방법 및 트러블 슈팅 26,통신 케이블(XPEIP A),메인 장비
12008,알람 설명 27,알람 예시 27,알람 원인 27,알람 해제 방법 및 트러블 슈팅 27,통신 케이블(XPEIP A),Robot
12009,알람 설명 28,알람 예시 28,알람 원인 28,알람 해제 방법 및 트러블 슈팅 28,통신 케이블(1XLZ1),메인 장비
12009,알람 설명 29,알람 예시 29,알람 원인 29,알람 해제 방법 및 트러블 슈팅 29,통신 케이블(1XLZ1),가압부
12010,알람 설명 30,알람 예시 30,알람 원인 30,알람 해제 방법 및 트러블 슈팅 30,Z-drive 컨트롤러/통신 케이블(1XG1 1XG2),메인 장비
12010,알람 설명 31,알람 예시 31,알람 원인 31,알람 해제 방법 및 트러블 슈팅 31,통신 케이블(1XG1 1XG2),가압부
12012,알람 설명 32,알람 예시 32,알람 원인 32,알람 해제 방법 및 트러블 슈팅 32,Z-drive/통신 케이블(1XG1 1XG2),가압부
12012,알람 설명 33,알람 예시 33,알람 원인 33,알람 해제 방법 및 트러블 슈팅 33,통신 케이블(1XG1 1XG2),메인 장비
12013,알람 설명 34,알람 예시 34,알람 원인 34,알람 해제 방법 및 트러블 슈팅 34,Seam drive/타이밍 벨트/Seam drive 이동경로,가압부
12014,알람 설명 35,알람 예시 35,알람 원인 35,알람 해제 방법 및 트러블 슈팅 35,Wobble drive,가압부
12016,알람 설명 36,알람 예시 36,알람 원인 36,알람 해제 방법 및 트러블 슈팅 36,세이프티,메인 장비
12016,알람 설명 37,알람 예시 37,알람 원인 37,알람 해제 방법 및 트러블 슈팅 37,세이프티/제어 파라미터,Robot
12017,알람 설명 38,알람 예시 38,알람 원인 38,알람 해제 방법 및 트러블 슈팅 38,Start 신호,Robot
12018,알람 설명 39,알람 예시 39,알람 원인 39,알람 해제 방법 및 트러블 슈팅 39,메인 장비,메인 장비
12200,알람 설명 40,알람 예시 40,알람 원인 40,알람 해제 방법 및 트러블 슈팅 40,Coupler/피딩 파이버,메인 장비
12200,알람 설명 41,알람 예시 41,알람 원인 41,알람 해제 방법 및 트러블 슈팅 41,냉각수 유량,냉각기
12201,알람 설명 42,알람 예시 42,알람 원인 42,알람 해제 방법 및 트러블 슈팅 42,냉각 호스,메인 장비
12201,알람 설명 43,알람 예시 43,알람 원인 43,알람 해제 방법 및 트러블 슈팅 43,냉각 호스/물 탱크,냉각기
12202,알람 설명 44,알람 예시 44,알람 원인 44,알람 해제 방법 및 트러블 슈팅 44,보호 유리/옵틱 헤드/프로세스 파이버,가압부
12205,알람 설명 45,알람 예시 45,알람 원인 45,알람 해제 방법 및 트러블 슈팅 45,레이저 모듈,메인 장비
12207,알람 설명 46,알람 예시 46,알람 원인 46,알람 해제 방법 및 트러블 슈팅 46,이슬점 센서/전장부,메인 장비
12217,알람 설명 47,알람 예시 47,알람 원인 47,알람 해제 방법 및 트러블 슈팅 47,컴바이너,메인 장비
12218,알람 설명 48,알람 예시 48,알람 원인 48,알람 해제 방법 및 트러블 슈팅 48,레이저 모듈,메인 장비
12219,알람 설명 49,알람 예시 49,알람 원인 49,알람 해제 방법 및 트러블 슈팅 49,MCU,메인 장비
12220,알람 설명 50,알람 예시 50,알람 원인 50,알람 해제 방법 및 트러블 슈팅 50,레이저 모듈,메인 장비
12221,알람 설명 51,알람 예시 51,알람 원인 51,알람 해제 방법 및 트러블 슈팅 51,레이저 모듈/통신 케이블(IG606 J9),메인 장비
12222,알람 설명 52,알람 예시 52,알람 원인 52,알람 해제 방법 및 트러블 슈팅 52,파워 서플라이,메인 장비
12224,알람 설명 53,알람 예시 53,알람 원인 53,알람 해제 방법 및 트러블 슈팅 53,냉각 호스/누수 센서,메인 장비
12225,알람 설명 54,알람 예시 54,알람 원인 54,알람 해제 방법 및 트러블 슈팅 54,레이저 모듈/컴바이너/스플라이스 박스,메인 장비
12228,알람 설명 55,알람 예시 55,알람 원인 55,알람 해제 방법 및 트러블 슈팅 55,파워 서플라이,메인 장비
12230,알람 설명 56,알람 예시 56,알람 원인 56,알람 해제 방법 및 트러블 슈팅 56,공급 전원,Customer
12238,알람 설명 57,알람 예시 57,알람 원인 57,알람 해제 방법 및 트러블 슈팅 57,냉각 호스/펌프,냉각기
12239,알람 설명 58,알람 예시 58,알람 원인 58,알람 해제 방법 및 트러블 슈팅 58,냉각 호스/펌프/히터,냉각기
